# in format of iata
BZZ
ALY
GEC
MJV
DIJ
BBU
ISL
NAY
KMC
DHA
KMX
TUU
SFS
SJK
BFI
PYK
CEG
BLK
SEN
TIP
TTB
DKR
PRY
QRA
ULN
LTX
YND
YTZ
ADJ
VBS
MEB
KTP
PSY
BJC
LEY
ONX
GEA
ULY
CCM
TOW
SOD
JDF
OKY
LSY
WIL
ARK
CMF
PCN
WHK
ORG
YZZ
AAC
KRE
TIE
DEM
