Afghanistan	AFG	..	..	1095.65562315899	1245.05921536203	1283.04097940244	1525.51704434099	1629.16728380707	1712.58871978343	1933.39625701207	1937.85596483349	1945.50242058247	..
Albania	ALB	2840.98723449143	4248.83789070839	7181.10822762171	7659.17352668723	8769.11767025522	9345.09376150331	9297.49275289637	9640.13021649275	9666.69732164956	9925.90662345448	10428.4558717232	..
Algeria	DZA	6618.79555639565	7970.15016615566	11342.9405721612	11860.5791194864	12140.5362404706	12221.0698519372	12590.0814953833	12964.8272133613	13370.0792680085	13676.4716541713	14167.3396769179	..
American Samoa	ASM	..	..	..	..	..	..	..	..	..	..	13000	..
Andorra	ADO	..	..	..	..	..	..	..	..	..	..	37200	..
Angola	AGO	2539.88408370267	2482.66054922172	4614.59078723391	5613.23216200315	6298.01240899954	6284.2748658035	6360.8489551483	6524.48118084089	6755.17061932689	7083.90343496259	7227.44077131625	..
Antigua and Barbuda	ATG	11087.0017397968	15312.5663963211	22040.9135550974	24503.84472287	24723.111771176	21671.3756141615	20151.3097864672	19987.9241389288	20946.7007773885	21027.3976410307	21799.8001469806	..
Argentina	ARG	..	..	..	..	..	..	..	..	..	..	22302	..
Armenia	ARM	2414.40150066202	2313.33193028303	5526.0927792899	6483.50460974204	7097.91213866805	6158.30141402362	6376.2681923789	6803.48299708481	7398.45305227959	7735.51844816855	8077.53328659488	..
Aruba	ABW	..	..	..	..	..	..	..	36015.070459561	..	..	..	..
Australia	AUS	17357.6567413215	26333.8858273582	34325.0175743595	36555.7775415274	37494.5933995015	40192.7267393892	39086.4159365573	41705.9450796006	43011.4568947214	43208.779145574	43901.5548535076	..
Austria	AUT	19513.8729923133	29574.163781248	37649.5289771786	39238.3018081273	41151.5864527839	40633.3898946293	41804.2301651514	44028.7740444403	44872.635165481	45081.4781159863	46164.9443210062	..
Azerbaijan	AZE	5502.42618208218	3534.32912410323	9830.16255861244	12477.3846098912	13799.7860726199	14900.5085714802	15627.6055585071	15754.1523626148	16173.4472399451	17142.7599202813	17515.6237584099	..
Bahamas, The	BHS	15693.3563593846	20486.8372224785	23417.2342477547	23928.0211719705	23397.8156576054	22196.8193561702	22431.1375471003	22665.167557113	23224.1089556889	23235.1138341757	23491.1233537885	..
Bahrain	BHR	22879.1150474346	35792.0452529983	40220.9425507846	40979.8713257434	40843.8458602319	39343.2252451746	39423.6511339632	39676.7170222452	40973.7085615681	43289.3060699565	45478.9388359646	..
Bangladesh	BGD	834.047025011443	1304.44234923524	1871.0001264933	2031.77850912561	2171.62971784397	2273.16418725793	2401.71873034578	2579.33504808833	2763.51069209284	2937.40380258784	3124.36688562126	..
Barbados	BRB	8363.96500435647	11519.5956214274	14597.4830946944	15174.9155192157	15460.6830262464	14871.4905876011	15031.8994825762	15401.5496498863	15625.0393209865	13393.6570472741	13575.1205198738	..
Belarus	BLR	5224.69250684203	5785.87421107449	11022.0863514633	12345.1055172397	13917.7566866683	14082.5381963803	15385.4592122602	16603.3895298874	17210.4391657534	17650.6785254421	18184.8635799703	..
Belgium	BEL	19045.9873078975	28218.2691752524	35168.9991303442	36621.1118711206	37953.8479659974	37741.0053706983	39211.3365794801	40945.9163746668	41397.1831420231	41572.64213537	42725.3105650476	..
Belize	BLZ	3338.86593252814	5517.29753316079	7362.31987189709	7445.85849687039	7638.38005668897	7559.67696930477	7717.44850167539	7857.22419793338	8118.87560041573	8183.61837219183	..	..
Benin	BEN	880.193020151304	1209.10153711038	1461.46748716126	1522.19640397651	1581.5920274205	1588.69319187344	1603.44833824991	1643.37800566935	1715.70764961218	1790.93256681602	1864.71732618861	..
Bermuda	BMU	26210.8737141067	40535.2079875028	53949.4234475467	56640.9886500112	58288.6118094995	55320.1613663993	55254.2139022063	54984.5103947777	53073.2821691122	52347.4969749938	..	..
Bhutan	BTN	1507.86000941776	2850.81597236478	4365.9358846209	5172.72692238465	5418.20199924151	5717.16570112085	6354.39390951885	6882.68840700056	7248.09901026274	7397.81535670718	7867.20340689996	..
Bolivia	BOL	2395.34851761304	3496.16676111487	4437.20718205866	4683.43746358722	4985.26225862039	5107.22140314561	5296.39722238607	5595.18088896488	5896.53837723459	6290.85430737102	6624.0861157029	..
Bosnia and Herzegovina	BIH	..	4399.99032649746	7154.58324115178	7855.20950279114	8616.89853417782	8523.64475350126	8770.40613348051	9265.01588751072	9369.88655793426	9549.94745002713	9922.8345981732	..
Botswana	BWA	5234.81718818127	8212.67718710664	11235.5501887176	12310.3081196943	13081.9991930298	11934.076284564	12854.1371539631	13634.2684626754	14255.4574112874	15499.1498948483	16099.284231009	..
Brazil	BRA	6644.20382660233	9017.7941614644	11527.6360676218	12409.4156614603	13152.4901935871	13091.2711531445	14117.2585678044	14830.8995611937	15220.2286284204	15726.4881003078	15838.0204149206	..
Brunei Darussalam	BRN	49814.9725990768	59253.6770379152	71257.3312685062	72032.3888851858	70824.084098488	68962.8547848636	70486.3327839691	73265.1216346752	74160.9066035776	72871.4368052252	76753.6159981763	..
Bulgaria	BGR	5408.99170447114	6445.30705291818	11229.4343933351	12984.9038587141	14565.9092566452	14409.6440978321	14690.4921407297	15278.4219487047	15671.826255062	15731.7019975447	16323.8400000049	..
Burkina Faso	BFA	530.784822574745	829.052380831359	1165.27425917682	1225.85088003514	1300.49806217082	1308.54603757113	1393.5627158333	1470.43518369954	1546.93776840337	1626.29762856575	1667.59000053424	..
